Generations,PopulationSize,SelectionCoefficient,StartAlleleFrequency,NumAlleles,AlleleFrequency
135,150,0.0015,0.6,125,0.8333333333333334
136,150,0.0015,0.6,123,0.82
137,150,0.0015,0.6,109,0.7266666666666667
138,150,0.0015,0.6,101,0.6733333333333333
139,150,0.0015,0.6,103,0.6866666666666666
140,150,0.0015,0.6,105,0.7
141,150,0.0015,0.6,115,0.7666666666666667
142,150,0.0015,0.6,118,0.7866666666666666
143,150,0.0015,0.6,115,0.7666666666666667
144,150,0.0015,0.6,116,0.7733333333333333
145,150,0.0015,0.6,118,0.7866666666666666
146,150,0.0015,0.6,117,0.78
147,150,0.0015,0.6,110,0.7333333333333333
148,150,0.0015,0.6,109,0.7266666666666667
149,150,0.0015,0.6,120,0.8
150,150,0.0015,0.6,120,0.8
151,150,0.0015,0.6,119,0.7933333333333333
152,150,0.0015,0.6,123,0.82
153,150,0.0015,0.6,125,0.8333333333333334
154,150,0.0015,0.6,131,0.8733333333333333
155,150,0.0015,0.6,129,0.86
156,150,0.0015,0.6,128,0.8533333333333334
157,150,0.0015,0.6,125,0.8333333333333334
158,150,0.0015,0.6,117,0.78
159,150,0.0015,0.6,113,0.7533333333333333
160,150,0.0015,0.6,113,0.7533333333333333
161,150,0.0015,0.6,110,0.7333333333333333
162,150,0.0015,0.6,112,0.7466666666666667
163,150,0.0015,0.6,119,0.7933333333333333
164,150,0.0015,0.6,115,0.7666666666666667
165,150,0.0015,0.6,126,0.84
166,150,0.0015,0.6,125,0.8333333333333334
167,150,0.0015,0.6,120,0.8
168,150,0.0015,0.6,133,0.8866666666666667
169,150,0.0015,0.6,136,0.9066666666666666
170,150,0.0015,0.6,142,0.9466666666666667
171,150,0.0015,0.6,142,0.9466666666666667
172,150,0.0015,0.6,146,0.9733333333333334
173,150,0.0015,0.6,148,0.9866666666666667
174,150,0.0015,0.6,150,1
175,150,0.0015,0.6,150,1
176,150,0.0015,0.6,150,1
177,150,0.0015,0.6,150,1
178,150,0.0015,0.6,150,1
179,150,0.0015,0.6,150,1
180,150,0.0015,0.6,150,1
181,150,0.0015,0.6,150,1
182,150,0.0015,0.6,150,1
183,150,0.0015,0.6,150,1
184,150,0.0015,0.6,150,1
185,150,0.0015,0.6,150,1
186,150,0.0015,0.6,150,1
187,150,0.0015,0.6,150,1
188,150,0.0015,0.6,150,1
189,150,0.0015,0.6,150,1
190,150,0.0015,0.6,150,1
191,150,0.0015,0.6,150,1
192,150,0.0015,0.6,150,1
193,150,0.0015,0.6,150,1
194,150,0.0015,0.6,150,1
195,150,0.0015,0.6,150,1
196,150,0.0015,0.6,150,1
197,150,0.0015,0.6,150,1
198,150,0.0015,0.6,150,1
199,150,0.0015,0.6,150,1
0,150,0.0015,0.6,90,0.6
1,150,0.0015,0.6,98,0.6533333333333333
2,150,0.0015,0.6,103,0.6866666666666666
3,150,0.0015,0.6,111,0.74
4,150,0.0015,0.6,108,0.72
5,150,0.0015,0.6,106,0.7066666666666667
6,150,0.0015,0.6,104,0.6933333333333334
7,150,0.0015,0.6,104,0.6933333333333334
8,150,0.0015,0.6,100,0.6666666666666666
9,150,0.0015,0.6,107,0.7133333333333334
10,150,0.0015,0.6,99,0.66
11,150,0.0015,0.6,91,0.6066666666666667
12,150,0.0015,0.6,99,0.66
13,150,0.0015,0.6,106,0.7066666666666667
14,150,0.0015,0.6,108,0.72
15,150,0.0015,0.6,114,0.76
16,150,0.0015,0.6,109,0.7266666666666667
17,150,0.0015,0.6,108,0.72
18,150,0.0015,0.6,109,0.7266666666666667
19,150,0.0015,0.6,113,0.7533333333333333
20,150,0.0015,0.6,111,0.74
21,150,0.0015,0.6,115,0.7666666666666667
